returned,price,discount_pct,shipping_days,late_delivery,category,device,membership,prior_returns,prior_purchases,region
0,88.23,0.24,4,0,Shoes,Mobile,None,0,1,MW
1,175.18,0.19,2,0,Electronics,Mobile,Silver,0,2,West
0,75.33,0.33,1,0,Apparel,Desktop,None,0,0,NE
1,395.58,0.16,4,0,Electronics,Mobile,Gold,1,17,S
1,54.03,0.26,4,0,Apparel,Mobile,None,0,1,West
0,178.78,0.07,3,0,Electronics,Desktop,Silver,0,0,S
0,102.78,0.24,2,0,Home,Desktop,Gold,0,3,MW
0,36.54,0.24,3,0,Apparel,Desktop,Gold,0,8,NE
0,31.95,0.29,3,1,Beauty,Mobile,Gold,0,5,NE
0,94.87,0.15,1,0,Home,Mobile,Gold,0,3,NE
0,22.79,0.21,2,0,Apparel,Desktop,Silver,0,7,S
0,101.29,0.24,1,0,Apparel,Desktop,Gold,0,3,MW
1,245.27,0.08,5,0,Electronics,Mobile,Gold,1,8,S
0,225.51,0.11,1,0,Electronics,Mobile,Silver,0,13,MW
0,164.07,0.1,1,0,Electronics,Desktop,Silver,2,16,NE
0,19.05,0.34,5,1,Beauty,Mobile,Silver,1,11,West
0,217.29,0.12,4,0,Electronics,Mobile,Gold,0,5,MW
1,90.37,0.18,5,1,Shoes,Mobile,Gold,2,14,MW
1,137.48,0.4,4,1,Shoes,Desktop,Gold,0,10,S
0,25.47,0.21,1,0,Apparel,Mobile,None,0,3,NE
0,147.14,0.38,3,0,Shoes,Mobile,None,1,3,MW
1,47.94,0.12,3,1,Beauty,Mobile,None,0,3,S
0,134.02,0.17,1,0,Electronics,Desktop,Gold,0,7,West
1,16.55,0.26,5,1,Beauty,Mobile,Silver,0,6,West
1,63.2,0.14,1,0,Apparel,Mobile,Silver,0,1,NE
1,256.82,0.05,4,0,Electronics,Desktop,Silver,0,12,MW
0,183.81,0.25,2,0,Electronics,Mobile,None,0,1,MW
0,230.78,0.19,4,1,Electronics,Mobile,None,0,3,West
1,39.05,0.04,2,0,Beauty,Desktop,None,0,3,West
0,160.19,0.12,4,1,Electronics,Mobile,Gold,0,20,West
0,211.6,0.22,2,0,Electronics,Desktop,Silver,0,1,S
1,66.17,0.48,2,0,Apparel,Desktop,Silver,0,2,S
0,115.46,0.14,4,1,Home,Mobile,None,0,14,West
0,33.68,0.07,2,0,Apparel,Desktop,Silver,0,7,S
1,160.16,0.11,2,0,Home,Mobile,Silver,0,3,NE
1,45.31,0.29,1,0,Apparel,Desktop,None,0,6,MW
0,94.01,0.11,3,0,Home,Mobile,None,0,2,S
0,30.64,0.17,4,0,Apparel,Mobile,None,0,1,West
0,33.15,0.15,2,0,Apparel,Desktop,None,1,3,West
0,53.01,0.18,3,0,Beauty,Mobile,None,2,2,S
0,25.72,0.21,4,0,Beauty,Mobile,Silver,1,2,S
1,101.34,0.19,4,0,Home,Mobile,Gold,0,1,West
0,49.75,0.34,4,0,Beauty,Mobile,Silver,0,8,NE
0,45.39,0.19,1,0,Apparel,Desktop,Silver,0,2,S
0,27.41,0.31,4,1,Beauty,Desktop,Gold,0,6,MW
1,328.67,0.29,4,0,Electronics,Mobile,None,0,2,West
0,104.4,0.04,2,0,Home,Desktop,Silver,0,2,MW
0,127.12,0.27,3,0,Electronics,Desktop,Gold,1,5,S
0,236.48,0.09,1,0,Electronics,Mobile,Silver,0,10,NE
0,42.94,0.2,5,1,Beauty,Desktop,None,1,0,West
0,227.81,0.09,3,1,Electronics,Mobile,Silver,1,5,S
0,217.66,0.26,4,0,Electronics,Mobile,Silver,0,1,MW
0,137.58,0.28,1,0,Shoes,Desktop,Gold,0,6,NE
0,48.79,0.4,4,0,Apparel,Mobile,None,0,4,MW
0,41.2,0.23,5,1,Apparel,Desktop,None,2,0,NE
0,171.52,0.07,3,0,Electronics,Desktop,None,0,1,S
0,143.69,0.19,4,1,Home,Mobile,Silver,0,4,MW
0,17.76,0.18,2,0,Beauty,Mobile,None,1,1,MW
0,102.69,0.34,1,1,Shoes,Mobile,Silver,0,7,MW
0,64.47,0.28,3,0,Apparel,Mobile,None,0,7,S
0,64.83,0.28,3,0,Apparel,Mobile,Silver,0,3,S
0,143.23,0.35,5,0,Shoes,Mobile,None,0,3,West
0,75.04,0.24,3,0,Home,Mobile,None,1,5,West
1,343.97,0.12,3,0,Electronics,Mobile,Gold,5,32,MW
1,144.33,0.07,4,0,Electronics,Mobile,None,0,1,NE
1,90.69,0.1,4,1,Shoes,Desktop,Silver,0,1,S
0,429.67,0.09,4,1,Electronics,Desktop,None,0,3,MW
0,37.47,0.1,2,0,Apparel,Mobile,Gold,0,5,NE
1,29.81,0.28,5,1,Apparel,Mobile,None,0,3,West
0,32.14,0.27,2,0,Beauty,Mobile,Gold,0,8,MW
1,156.03,0.24,4,1,Electronics,Mobile,None,0,4,West
0,287.8,0.1,5,0,Electronics,Mobile,None,0,1,West
0,26.75,0.3,4,0,Beauty,Mobile,None,0,4,NE
0,160.02,0.21,2,0,Home,Desktop,None,0,1,West
0,371.91,0.05,3,0,Electronics,Mobile,None,0,3,S
0,35.39,0.12,2,1,Apparel,Desktop,Gold,0,9,S
0,90.87,0,1,0,Home,Desktop,Silver,0,3,S
0,229.77,0,3,0,Electronics,Mobile,Gold,2,7,MW
0,118.13,0.26,1,0,Home,Mobile,Silver,0,6,S
1,26.98,0.44,4,1,Apparel,Mobile,Gold,1,3,NE
0,106.23,0.26,1,0,Apparel,Desktop,Silver,0,3,NE
0,86.77,0.11,3,0,Home,Mobile,Silver,0,2,West
1,83.41,0.07,5,1,Apparel,Desktop,Silver,0,10,West
0,72.67,0.18,3,0,Home,Mobile,None,0,2,West
1,49.19,0.19,4,1,Beauty,Desktop,Silver,1,9,NE
0,136.87,0,1,0,Home,Desktop,Gold,0,8,NE
0,22.61,0.19,1,0,Beauty,Desktop,None,0,1,MW
1,49.55,0.31,5,1,Apparel,Mobile,Silver,0,2,S
0,197.53,0.31,1,1,Electronics,Mobile,Gold,1,6,NE
0,194.06,0.2,4,1,Electronics,Mobile,None,0,0,West
0,71.31,0.25,2,0,Shoes,Mobile,Silver,0,4,S
1,225.09,0.31,4,1,Electronics,Mobile,Silver,1,11,West
1,62.1,0.09,3,0,Apparel,Desktop,Gold,0,3,S
1,252.7,0.09,2,0,Electronics,Desktop,None,0,0,NE
0,211.8,0.13,3,1,Electronics,Mobile,Silver,0,10,West
0,328.05,0,6,0,Electronics,Mobile,None,0,5,West
0,113.27,0.08,2,1,Electronics,Mobile,Gold,2,14,NE
1,125.27,0.09,4,1,Home,Desktop,Silver,1,7,NE
0,18.64,0.13,3,0,Beauty,Desktop,Gold,2,36,MW
0,130.86,0.31,3,0,Home,Desktop,None,0,3,MW
0,24.91,0.14,3,0,Beauty,Mobile,Silver,0,7,S
0,46.38,0.21,1,0,Apparel,Mobile,Gold,1,4,NE
0,50.34,0.14,6,0,Shoes,Desktop,None,0,5,S
0,33.57,0.25,4,0,Beauty,Desktop,None,0,4,MW
0,249.77,0.15,2,1,Electronics,Mobile,Gold,0,2,NE
0,64.87,0.17,5,1,Shoes,Desktop,Silver,0,5,NE
1,53.55,0.23,1,0,Apparel,Mobile,Gold,1,9,NE
1,67.17,0.34,5,0,Beauty,Desktop,None,1,2,S
0,211.76,0.19,3,1,Electronics,Mobile,None,0,1,S
0,88.74,0.29,2,0,Home,Mobile,None,0,2,MW
1,44.78,0.13,5,1,Apparel,Mobile,Silver,1,7,S
1,83.46,0.18,5,1,Apparel,Desktop,None,0,0,MW
0,168.99,0.2,3,1,Electronics,Mobile,Silver,1,1,S
0,125.79,0.11,5,1,Electronics,Desktop,Gold,0,8,S
0,206.17,0.09,3,0,Home,Desktop,Gold,0,29,MW
1,142.08,0.13,4,1,Electronics,Mobile,Silver,3,17,S
1,60.32,0.18,5,1,Shoes,Desktop,None,0,3,West
1,189.21,0.03,4,1,Home,Desktop,None,0,1,MW
0,40.6,0.29,4,0,Apparel,Mobile,None,0,3,S
1,58.92,0.19,2,0,Apparel,Mobile,Gold,0,16,MW
0,75.28,0.07,5,0,Apparel,Mobile,Silver,0,5,S
0,37.65,0.06,1,0,Shoes,Desktop,Gold,1,27,NE
0,122.29,0,3,1,Electronics,Mobile,None,0,8,West
0,133.82,0.24,1,0,Shoes,Desktop,Gold,1,11,NE
1,22.87,0.24,3,1,Beauty,Mobile,Silver,0,5,S
1,68.64,0,3,0,Apparel,Mobile,None,0,4,S
0,159.98,0,3,0,Electronics,Mobile,Gold,0,5,MW
0,319.57,0,6,1,Electronics,Mobile,None,0,0,West
0,71.48,0.27,5,0,Apparel,Mobile,None,0,0,West
1,199.68,0.43,3,1,Home,Mobile,None,1,6,S
1,33.9,0.15,2,0,Beauty,Desktop,None,1,1,NE
1,52,0.34,2,0,Apparel,Mobile,None,0,2,MW
0,44.97,0.22,1,0,Apparel,Desktop,Gold,0,17,S
0,118.65,0.11,1,0,Home,Mobile,Gold,0,1,MW
1,211.88,0.16,1,0,Electronics,Mobile,Gold,1,28,NE
1,64.57,0.18,2,1,Shoes,Mobile,None,0,0,NE
0,109.92,0.06,3,0,Home,Desktop,Silver,0,1,West
0,50.2,0.39,3,0,Apparel,Mobile,Gold,1,9,S
0,34.97,0.11,4,1,Apparel,Mobile,None,0,0,S
1,97.4,0.01,3,0,Home,Mobile,Silver,1,7,MW
1,16.86,0.23,4,0,Beauty,Mobile,None,0,1,MW
0,71.4,0.11,3,0,Home,Desktop,Silver,1,8,NE
0,45.35,0.35,3,0,Apparel,Mobile,None,0,6,S
1,239.72,0.09,5,1,Electronics,Mobile,Silver,0,3,MW
0,279.01,0.23,2,0,Electronics,Mobile,Gold,0,4,MW
0,20.24,0.16,3,0,Beauty,Mobile,Gold,0,17,NE
0,126.38,0,4,0,Home,Desktop,Gold,0,5,NE
0,64.6,0.42,3,0,Apparel,Desktop,None,0,3,MW
1,39.31,0.17,3,0,Apparel,Desktop,None,0,2,West
1,32.36,0.16,3,0,Beauty,Mobile,Gold,2,10,S
0,54.17,0.34,3,0,Beauty,Desktop,None,0,2,S
0,70.63,0.26,4,1,Apparel,Desktop,Silver,0,1,NE
1,31.49,0.09,6,0,Beauty,Desktop,None,0,4,MW
0,27.11,0.27,5,1,Apparel,Desktop,None,0,4,S
0,82.3,0.42,3,0,Apparel,Mobile,Gold,1,12,NE
1,27.82,0.37,4,0,Apparel,Mobile,Gold,1,10,MW
0,199.3,0.25,4,1,Electronics,Desktop,Gold,0,12,S
0,61.11,0.24,2,1,Apparel,Mobile,None,0,9,NE
0,29.66,0.37,2,0,Beauty,Mobile,None,0,2,MW
0,148.29,0.29,2,0,Electronics,Mobile,Silver,0,4,NE
0,198.88,0.21,4,1,Electronics,Mobile,Gold,0,2,NE
0,155.91,0.15,4,1,Electronics,Mobile,Gold,1,8,S
0,92.9,0.19,4,1,Home,Mobile,Silver,0,2,NE
0,50.29,0.27,2,0,Beauty,Mobile,None,0,0,NE
0,129.61,0.05,3,0,Home,Mobile,None,0,5,S
0,111.13,0.19,4,0,Shoes,Mobile,Silver,0,2,NE
0,51.03,0.3,5,1,Apparel,Mobile,Silver,0,10,West
1,52.15,0.29,5,0,Apparel,Desktop,Gold,3,18,West
1,182.43,0.32,1,0,Electronics,Desktop,Gold,1,15,MW
0,108.83,0.09,2,0,Home,Desktop,Silver,0,5,MW
1,190.22,0.1,3,0,Electronics,Mobile,None,0,1,MW
1,114.25,0.2,4,0,Home,Desktop,Silver,0,2,West
1,38.35,0.15,5,1,Apparel,Mobile,None,0,0,S
1,77.5,0.16,1,1,Shoes,Desktop,None,0,2,NE
0,72.2,0.08,3,0,Home,Desktop,None,0,5,MW
1,86.25,0.14,5,0,Shoes,Mobile,None,0,1,West
0,205.81,0.18,5,0,Home,Desktop,None,0,7,West
1,64.64,0.07,4,0,Shoes,Mobile,Gold,2,14,MW
0,293.02,0.22,3,0,Electronics,Desktop,Gold,1,16,MW
0,99.4,0,3,0,Electronics,Desktop,Silver,0,1,NE
0,71.09,0.1,3,1,Apparel,Mobile,Gold,1,12,S
1,24.1,0.11,5,1,Beauty,Desktop,Silver,2,13,West
0,97.94,0.24,2,1,Electronics,Mobile,None,0,0,NE
0,41.86,0.1,1,0,Beauty,Desktop,Gold,0,22,NE
0,142.07,0.13,4,1,Home,Desktop,Silver,2,10,S
0,164.7,0.2,2,0,Home,Desktop,Gold,0,29,S
1,33.74,0.22,3,1,Beauty,Desktop,Gold,0,7,NE
0,42.79,0.35,1,0,Shoes,Mobile,None,0,1,MW
1,387.23,0.11,4,1,Electronics,Desktop,Gold,2,22,S
0,227.42,0.15,3,0,Electronics,Desktop,Silver,0,4,MW
1,394.78,0.1,2,1,Electronics,Desktop,Silver,0,7,S
1,257.35,0.24,5,0,Electronics,Mobile,None,0,1,S
0,278.16,0.11,2,0,Electronics,Mobile,None,0,1,MW
0,53.83,0.41,1,0,Apparel,Mobile,Silver,0,0,NE
0,55.8,0.18,6,0,Beauty,Mobile,None,0,0,MW
1,106,0.18,2,0,Home,Desktop,Gold,1,14,West
0,76.06,0.19,5,0,Apparel,Mobile,None,0,0,S
0,71.34,0.2,6,1,Apparel,Mobile,None,0,4,West
1,100.04,0.06,5,1,Home,Desktop,None,0,1,MW
0,87.74,0.12,3,0,Shoes,Mobile,Gold,0,5,MW
1,25.57,0.47,2,0,Apparel,Mobile,Gold,0,9,MW
0,187.01,0.34,4,1,Electronics,Desktop,None,0,7,MW
0,137.32,0.16,2,0,Home,Mobile,Gold,1,28,NE
0,49.25,0.12,3,0,Shoes,Mobile,Silver,0,2,S
1,52.56,0.21,5,0,Apparel,Mobile,Silver,0,6,West
0,39.75,0.09,2,1,Beauty,Mobile,Gold,1,8,S
0,113.97,0.05,1,0,Electronics,Desktop,Silver,0,4,MW
1,103.01,0.23,3,0,Electronics,Mobile,None,0,2,S
1,49.43,0.28,3,0,Apparel,Mobile,Gold,1,15,MW
0,27.59,0.23,2,0,Beauty,Mobile,None,0,1,MW
0,38.83,0.24,4,0,Beauty,Mobile,None,0,3,MW
0,227.11,0.13,2,0,Electronics,Desktop,Gold,1,14,West
1,30.08,0.16,4,1,Apparel,Desktop,Gold,1,5,West
0,48.18,0.25,1,0,Apparel,Mobile,None,1,9,MW
0,34.96,0.17,6,1,Beauty,Mobile,Gold,0,3,West
1,33.35,0.35,2,0,Apparel,Desktop,Silver,1,9,MW
0,126.84,0.15,2,1,Shoes,Mobile,Gold,0,5,S
1,92.53,0.1,4,0,Home,Mobile,Gold,1,3,West
0,124.07,0.2,1,0,Electronics,Desktop,Silver,0,3,MW
1,54.19,0.28,3,0,Apparel,Mobile,None,0,5,MW
0,134.46,0.09,4,0,Home,Mobile,None,0,3,S
0,88.33,0.33,3,0,Apparel,Desktop,None,0,3,NE
0,243.55,0.12,2,1,Electronics,Mobile,Silver,0,5,NE
0,42.79,0.07,3,1,Apparel,Desktop,Silver,0,10,MW
0,77.43,0.31,2,0,Shoes,Desktop,Gold,0,12,NE
0,39.13,0.23,4,0,Apparel,Desktop,Gold,1,9,MW
0,51.32,0.19,4,0,Apparel,Mobile,Gold,0,7,West
0,174.97,0.14,3,0,Home,Desktop,Gold,1,27,MW
1,57.66,0.24,3,0,Apparel,Desktop,None,0,3,MW
0,211.92,0,1,0,Electronics,Mobile,Silver,0,3,MW
0,46.2,0.21,3,0,Beauty,Mobile,None,0,4,S
0,29.75,0.14,2,0,Beauty,Desktop,Silver,0,3,NE
0,164.12,0.21,5,1,Home,Mobile,Gold,0,2,West
0,98.63,0.21,3,1,Shoes,Mobile,None,0,0,West
0,43.78,0.16,3,0,Beauty,Desktop,None,0,8,West
1,195.3,0.22,2,0,Electronics,Mobile,None,0,5,West
1,255.23,0.3,4,1,Electronics,Mobile,None,0,2,West
1,95.76,0.04,4,0,Shoes,Desktop,Gold,1,13,MW
0,63.79,0.17,3,0,Apparel,Desktop,None,0,0,S
0,193.16,0.11,2,1,Home,Desktop,Gold,0,7,S
