country,region,happiness_score,gdp_per_capita,social_support,life_expectancy,freedom,generosity,corruption_perception,population_millions,unemployment_rate
Maldives,South Asia,4.35,6.96,0.367,64.3,0.429,-0.157,0.332,37.5,3.9
Mali,Sub-Saharan Africa,3.43,7.0,0.041,58.2,0.333,0.099,0.3,2.4,4.9
Malta,Western Europe,6.76,8.09,0.851,72.6,0.608,0.227,0.365,31.1,6.6
Marshall Islands,Oceania,4.3,8.34,0.587,62.5,0.291,-0.189,0.304,163.9,18.1
Mauritania,Sub-Saharan Africa,3.24,6.0,0.154,59.1,0.375,-0.3,0.275,7.5,12.3
Mauritius,Sub-Saharan Africa,4.25,6.71,0.308,60.6,0.565,-0.14,0.545,1.5,8.3
Micronesia,Oceania,6.33,8.74,0.87,69.3,0.59,0.082,0.354,17.9,14.3
Moldova,Eastern Europe,4.0,7.13,0.502,64.0,0.349,0.095,0.609,14.5,14.0
Mongolia,East Asia,5.71,8.87,0.458,70.7,0.305,0.051,0.345,5.1,6.4
Montenegro,Eastern Europe,5.68,6.98,0.594,65.2,0.343,0.198,0.713,1.5,2.0
Morocco,Middle East,3.33,6.74,0.321,60.1,0.434,0.064,0.497,0.3,10.8
Mozambique,Sub-Saharan Africa,2.97,7.36,0.035,61.2,0.455,-0.265,0.1,15.3,10.5
Myanmar,Southeast Asia,2.0,6.27,0.054,54.5,0.291,0.038,0.0,96.7,15.7
Namibia,Sub-Saharan Africa,4.56,6.82,0.353,64.0,0.364,0.003,0.064,0.5,6.6
Nauru,Oceania,5.02,9.33,0.356,66.2,0.614,0.035,0.489,43.8,14.6
Nepal,South Asia,3.21,8.6,0.077,67.1,0.211,0.158,0.0,379.4,10.6
Netherlands,Western Europe,7.83,8.54,0.751,71.4,0.901,0.062,0.424,0.5,2.0
New Zealand,Oceania,7.82,8.91,0.697,70.2,0.613,0.202,0.381,88.0,4.5
Niger,Sub-Saharan Africa,4.48,6.71,0.191,64.4,0.432,0.069,0.307,1.6,9.4
Nigeria,Sub-Saharan Africa,2.83,6.04,0.118,60.4,0.382,-0.101,0.471,16.3,10.3
North Macedonia,Eastern Europe,5.03,8.2,0.531,66.3,0.432,-0.079,0.19,2.9,8.3
Norway,Western Europe,5.06,8.63,0.754,67.6,0.652,-0.066,0.29,1.3,13.6
Oman,Middle East,4.49,8.43,0.296,67.4,0.486,0.207,0.148,0.8,9.8
Pakistan,South Asia,3.25,6.76,0.004,59.3,0.66,-0.039,0.519,230.0,5.2
Palau,Oceania,8.4,8.35,0.904,71.3,0.561,0.001,0.525,757.9,2.0
Palestine,Middle East,3.86,7.88,0.214,61.4,0.534,-0.1,0.646,7.3,7.3
Panama,Central America,4.97,7.16,0.524,64.0,0.569,-0.127,0.573,0.1,12.0
Papua New Guinea,Oceania,6.62,8.02,0.62,67.9,0.784,-0.093,0.677,0.6,8.2
Paraguay,South America,5.22,7.32,0.372,63.1,0.699,-0.162,0.512,8.5,9.3
Peru,South America,5.79,6.66,0.362,64.9,0.737,-0.002,0.549,1.2,4.7
Philippines,Southeast Asia,4.55,7.89,0.428,63.8,0.356,0.101,0.077,123.6,13.1
Portugal,Western Europe,5.95,8.74,0.642,68.4,0.378,0.255,0.749,28.4,6.4
Qatar,Middle East,3.17,7.24,0.312,60.1,0.313,0.271,0.615,348.0,11.7
Romania,Eastern Europe,3.47,6.0,0.398,57.7,0.451,0.317,0.685,5.1,16.3
Rwanda,Sub-Saharan Africa,4.28,6.37,0.222,58.6,0.559,-0.161,0.462,0.4,2.0
Samoa,Oceania,5.25,7.61,0.618,66.2,0.566,0.333,0.376,14.8,8.1
Saudi Arabia,Middle East,5.25,7.4,0.467,65.8,0.836,0.014,0.664,19.1,10.3
Senegal,Sub-Saharan Africa,2.33,6.26,0.058,58.9,0.069,0.087,0.127,1.4,12.3
Serbia,Eastern Europe,5.54,8.85,0.367,68.2,0.676,0.219,0.146,42.0,6.0
Sierra Leone,Sub-Saharan Africa,5.64,7.49,0.43,61.1,0.959,0.107,0.0,9.1,7.7
Singapore,Southeast Asia,4.69,7.97,0.353,67.9,0.509,-0.066,0.73,52.4,12.4
Slovakia,Eastern Europe,4.58,7.24,0.431,63.9,0.583,0.117,0.239,1.7,7.4
Slovenia,Eastern Europe,4.13,7.06,0.441,62.0,0.355,0.007,0.199,17.2,3.8
Solomon Islands,Oceania,6.39,8.06,0.845,69.5,0.521,0.017,0.227,173.9,7.9
Somalia,Sub-Saharan Africa,2.0,6.73,0.033,57.5,0.556,-0.019,0.814,5.4,23.1
South Africa,Sub-Saharan Africa,5.16,9.76,0.426,70.4,0.528,0.018,0.299,4.5,15.8
South Korea,East Asia,7.0,8.34,0.843,67.2,0.439,0.111,0.524,3.8,6.0
South Sudan,Sub-Saharan Africa,4.17,8.17,0.182,67.0,0.336,0.067,0.0,13.7,11.7
Spain,Western Europe,7.63,8.79,0.746,73.9,0.509,0.032,0.574,15.0,2.7
Sri Lanka,South Asia,2.78,7.39,0.161,59.4,0.358,0.249,0.275,12.7,13.5
Sudan,Sub-Saharan Africa,2.0,6.0,0.0,55.9,0.307,-0.031,0.447,129.1,19.3
Suriname,South America,3.44,7.04,0.254,57.7,0.421,0.348,0.297,4.6,14.0
Switzerland,Western Europe,7.07,9.67,0.629,71.6,0.635,-0.082,0.505,8.4,4.2
Syria,Middle East,5.52,8.66,0.521,70.9,0.587,0.01,0.573,285.6,12.3
Taiwan,East Asia,7.14,9.22,0.64,73.5,0.792,0.136,0.382,2.8,6.8
Tanzania,Sub-Saharan Africa,3.66,7.67,0.278,62.2,0.548,0.097,0.51,4.0,9.5
Thailand,Southeast Asia,3.72,6.85,0.448,60.8,0.577,0.188,0.741,1.9,10.4
Togo,Sub-Saharan Africa,2.52,7.63,0.0,59.2,0.272,-0.032,0.719,9.5,10.6
Tunisia,Middle East,4.95,9.11,0.449,69.2,0.23,-0.056,0.193,7.9,8.4
Turkey,Middle East,7.78,9.88,0.649,73.8,0.595,-0.176,0.55,33.3,2.0
Tuvalu,Oceania,6.94,8.06,0.714,72.5,0.658,0.206,0.469,25.6,9.5
Uganda,Sub-Saharan Africa,3.1,6.0,0.255,57.4,0.496,-0.01,0.032,1.2,12.0
Ukraine,Eastern Europe,4.63,8.75,0.423,63.3,0.287,0.083,0.607,0.1,10.5
United Arab Emirates,Middle East,5.79,9.8,0.338,66.7,0.664,0.024,0.628,0.5,7.2
United Kingdom,Western Europe,6.69,8.81,0.812,69.0,0.55,0.112,0.287,5.5,6.9
United States,North America,6.48,8.47,0.696,69.2,0.499,0.006,0.32,330.0,8.1
Uruguay,South America,4.24,6.83,0.329,57.8,0.432,0.019,0.433,951.9,6.2
Vanuatu,Oceania,7.79,7.38,0.834,72.3,0.788,0.027,0.462,14.9,2.0
Venezuela,South America,2.43,6.0,0.298,59.7,0.363,-0.033,0.848,140.7,11.1
Vietnam,Southeast Asia,5.14,7.18,0.42,65.2,0.566,-0.142,0.725,1.4,5.6
Yemen,Middle East,4.54,7.88,0.285,67.7,0.623,0.167,0.739,4.4,7.7
Zambia,Sub-Saharan Africa,5.43,7.85,0.234,70.5,0.267,0.094,0.218,10.4,4.3
Zimbabwe,Sub-Saharan Africa,2.0,6.52,0.0,57.5,0.375,-0.059,0.295,1.2,15.2
