sale_price,living_area,overall_qual,year_built,total_bsmt_sf,garage_area,lot_area,full_bath,bedrooms,fireplaces,total_rooms,year_remod
320,2250,8,2002,1671,756,13650,2,3,1,7,2002
319.9,1752,9,2005,1752,576,7658,2,2,1,6,2005
205,1370,8,2006,1370,484,7132,2,2,1,6,2006
175.5,1626,7,2003,764,474,2628,2,2,0,6,2003
199.5,1324,6,2005,1324,430,18494,2,3,0,6,2005
160,1145,7,2006,1145,437,3203,2,2,0,6,2006
192,1269,8,2004,1256,430,3182,2,2,1,6,2005
184.5,1374,7,2004,384,400,13300,2,3,1,7,2004
216.5,1960,6,2002,860,440,7851,2,4,2,8,2002
185.088,1733,7,2004,847,433,8577,2,3,1,7,2004
180,1430,7,2000,384,400,7750,2,3,1,7,2000
222.5,2035,7,2001,884,434,9505,2,3,1,8,2001
333.168,2599,9,1999,1393,779,14774,2,4,1,10,1999
355,2475,8,1998,1629,962,17433,2,4,1,7,1998
260.4,1720,7,1996,1720,527,10593,2,3,1,7,1996
325,2622,8,1994,1463,712,12256,2,3,2,9,1995
290,2270,8,1999,1152,671,11764,2,4,1,9,2007
221,1839,7,1998,1195,486,16770,2,4,0,7,1998
410,3238,8,1995,2033,666,14720,2,4,1,9,1996
221.5,1595,8,2005,1595,880,8987,2,2,1,6,2006
204.5,1218,7,2009,1218,676,9215,2,2,0,4,2010
215.2,1547,7,2009,756,614,8640,2,3,0,7,2009
262.5,1566,8,2008,1566,750,9000,2,3,0,7,2008
254.9,1947,7,2004,991,678,12552,2,3,1,8,2005
271.5,1468,6,2005,1468,528,10440,2,2,1,6,2005
233,2084,7,2004,956,618,10142,2,4,0,8,2004
181,1659,7,2004,831,484,11920,2,3,0,8,2004
205,2110,7,1994,948,463,8880,2,3,2,8,2002
143,923,6,1980,923,264,8012,2,2,1,5,1980
189,1845,6,1992,1055,462,11218,2,3,1,8,1992
99.5,918,6,1979,918,264,7892,2,2,1,5,1979
125,752,6,1984,744,264,7175,1,2,0,4,1984
194.5,1744,7,1993,996,457,9453,2,3,0,7,2003
152,1097,6,1984,1040,480,9672,2,3,0,6,1985
171,1564,6,1980,650,476,8400,2,3,1,7,1981
67.5,1012,5,1920,816,429,9800,1,2,0,5,1950
112,1902,6,1978,0,539,8930,2,4,0,8,1978
148,1155,5,1961,1109,576,11782,1,3,0,6,1995
138.5,894,5,1965,894,336,8450,1,3,1,5,2009
122,900,5,1967,882,280,9819,1,3,0,5,1967
133,1040,5,1963,1040,308,7500,1,3,0,5,1963
127,1040,5,1962,1040,260,6897,1,3,0,6,2010
169,1494,6,1974,1208,461,15410,2,3,2,7,2002
190,1923,7,1992,750,564,10186,2,3,1,8,1992
362.5,2349,8,1993,1231,762,13143,2,4,1,9,1993
285,2225,8,1992,1390,713,11134,2,4,1,7,1993
260,1488,7,2004,1488,506,4835,2,2,1,6,2005
190,1680,7,2004,840,588,3515,2,2,0,3,2004
155,1200,7,2004,600,480,3215,2,2,0,4,2004
151,1200,7,2004,600,480,3182,2,2,0,4,2005
149.5,1200,7,2004,600,480,2544,2,2,0,4,2005
152,1236,6,2005,600,480,2544,2,2,0,4,2005
222,1478,7,2009,1470,484,4403,2,2,1,7,2009
177.5,1573,6,2000,756,440,2117,2,3,0,5,2000
177,1512,6,2000,756,440,2980,2,2,0,5,2000
155,1416,7,1999,696,484,2572,2,3,0,6,1999
147.11,1080,7,2003,530,496,2403,2,2,0,4,2003
267.916,1418,8,2010,1642,852,12853,1,1,1,6,2010
254,1848,8,2000,975,592,7379,2,3,1,7,2000
155,788,8,1980,728,484,4420,1,1,1,3,1980
206,1226,8,1978,1226,484,3880,1,1,1,4,1978
130.5,1479,6,1976,725,475,13517,2,3,0,6,2005
230,1492,7,2002,1492,596,8000,2,3,1,6,2002
218.5,1829,6,1967,1829,535,10456,2,4,0,8,1967
243.5,2495,6,1993,1280,660,10791,2,4,1,9,1993
205,1610,6,1977,1610,480,10603,2,3,2,6,2001
212.5,1891,6,1978,1224,678,18837,3,3,1,7,1978
196.5,1714,7,1988,980,496,10421,2,3,1,7,1988
197.5,1381,6,1972,1161,676,9360,1,3,1,5,2006
171,1645,6,1971,715,441,9600,1,4,0,7,1971
142.25,1232,5,1966,1232,490,9600,1,3,0,6,1966
143,1328,6,1963,1328,528,9790,1,3,2,6,1963
128.95,1225,4,1959,950,0,9320,1,3,0,6,1959
159,1209,5,1966,1209,504,9900,1,3,0,6,1966
178.9,1510,5,1967,1510,517,9680,2,3,0,6,1967
136.3,1775,6,1964,533,480,10600,2,3,0,8,1964
180.5,1152,5,1964,1152,484,14112,1,3,1,6,1964
137.5,1054,6,1963,936,480,8800,1,3,0,6,1963
84.9,1728,5,1962,1728,0,13260,2,6,0,10,2001
142.125,1078,5,1950,1078,240,9717,1,2,0,5,1996
197.6,2461,5,1952,1140,400,9724,2,3,2,7,2002
172.5,1556,6,1949,782,470,17360,2,3,1,6,1950
116.5,858,5,1958,858,0,7207,1,2,0,4,2008
76.5,1306,3,1940,728,0,5350,1,3,0,6,1966
128,1063,5,1954,1056,280,9920,1,3,0,6,1954
153,1520,6,1955,1156,364,9600,1,3,2,7,1972
132,1268,5,1954,1268,244,7800,1,2,1,7,1954
178,1128,6,1966,1080,315,11380,1,2,1,5,2008
154.3,2274,5,1960,1105,480,11600,2,5,0,12,1960
180,2207,7,1970,1947,576,19900,2,3,1,7,1989
190,1888,6,1966,1517,578,16492,2,2,1,6,2002
135,1604,5,1958,1604,576,8267,2,4,0,8,1958
214,1480,7,2003,1480,620,8197,2,3,0,7,2009
136,1143,5,1959,1143,308,8050,1,3,0,6,1959
165.5,1700,5,1959,1398,447,10552,1,4,1,6,1959
145,1314,5,1957,1314,294,8400,1,3,0,5,1957
148,1194,6,1959,1194,312,8760,1,3,0,6,1959
142,1188,5,1959,1188,531,12160,1,3,0,6,1959
167.5,1264,5,1960,1268,461,9300,1,3,2,6,1960
108.538,1206,5,1959,1206,312,10725,1,3,0,6,1959
159.5,1580,6,1959,1244,440,10032,1,3,2,6,1959
108,1337,4,1956,832,263,8382,1,3,0,5,1956
135,1064,5,1952,864,318,10950,1,2,0,4,1952
122.5,972,5,1955,972,305,10895,1,3,0,5,1955
119,988,5,1958,988,264,13587,1,2,0,5,1958
109,1057,5,1953,1057,246,7922,1,3,0,5,2007
105,985,4,1920,576,676,7898,1,2,0,4,1994
107.5,827,5,1955,0,392,7200,1,2,1,5,2007
144.9,1086,5,1954,1086,490,10200,1,3,0,6,2003
129,936,5,1956,936,308,5868,1,2,0,4,2000
97.5,1458,6,1948,912,330,17503,1,3,1,6,1950
144,1056,6,1980,1056,576,6979,0,0,0,4,1980
162,1287,5,1959,1063,576,9830,1,3,1,7,2006
242,2978,7,1967,710,564,11275,2,5,1,11,2007
132,1224,6,1948,816,280,8064,1,3,0,5,2004
154,1246,5,1959,1246,305,7500,1,3,0,6,1994
166,1385,5,1952,910,720,8520,2,4,0,6,1952
134.8,900,5,1951,900,576,7200,1,3,0,5,2000
160,1116,6,1962,1116,440,10000,1,3,0,5,1962
148,1175,5,1960,1175,484,7635,1,3,0,6,1960
192,1395,6,1963,1395,440,9760,1,2,1,7,1984
155,1839,6,1966,756,442,7700,1,4,1,7,1966
80.4,1844,4,1900,709,240,4800,1,3,2,9,1954
96.5,1140,4,1910,576,0,8800,1,3,0,7,2004
109.5,936,5,1920,936,0,4485,1,2,1,5,1950
115,1028,5,1927,1008,360,8960,1,2,1,5,1950
143,1347,5,1957,1347,551,5805,1,3,0,6,1957
107.4,1605,3,1915,840,379,5790,2,3,0,8,1950
80,747,4,1945,747,220,4608,1,2,0,4,1950
119,804,5,1940,788,240,7200,1,2,2,4,1992
130,1316,5,1929,926,484,5500,1,3,0,6,2001
119,1251,6,1938,827,240,6900,1,3,0,6,2000
129,1633,5,1948,1027,240,11851,1,3,1,7,2009
100,1245,5,1920,1008,315,8239,1,3,0,6,1962
12.789,832,2,1923,678,780,9656,1,2,1,5,1970
105.9,720,6,1928,624,484,8520,1,2,0,5,2003
150,1566,8,1900,930,288,9600,2,3,0,7,2003
139,1652,5,1915,686,416,10800,2,4,0,7,1950
240,2268,8,1890,346,624,9000,3,3,0,7,2002
76.5,2256,5,1910,840,0,9045,2,4,0,12,1950
149.7,1236,6,1957,912,923,7407,1,2,0,6,1996
125.5,1363,4,1910,622,528,7740,1,3,0,6,1950
122.5,2290,4,1885,777,560,11340,2,4,0,11,1950
140.75,1470,6,1922,738,624,10560,1,2,0,6,1994
128.5,1612,5,1950,988,363,5830,1,3,0,7,1997
209.5,2068,7,1922,1108,315,7793,1,3,1,8,2005
87,765,4,1925,765,200,5000,1,2,0,4,1950
134,1132,6,1939,608,240,6000,1,2,0,5,1950
128,1196,6,1940,572,576,6000,1,3,2,6,1950
132,1453,5,1942,835,240,6360,1,3,2,7,1950
139.9,1416,6,1948,780,312,6000,1,3,0,6,1950
123.9,1040,5,1936,528,624,6240,1,2,0,5,1980
138.4,1536,5,1930,928,480,6240,2,4,1,7,1950
109.5,1068,6,1923,1124,288,6120,1,2,1,5,1950
140,1710,7,1921,576,480,10300,2,3,0,9,1950
149.5,1962,4,1915,888,572,8094,1,4,1,9,1950
159.9,1560,6,1912,780,0,12900,1,3,0,7,2009
122,1324,6,1920,662,180,3068,1,3,0,6,1993
110,816,5,1963,816,516,8472,1,2,0,5,1963
55,1092,4,1930,0,0,5600,2,3,0,7,1950
140,1812,5,1900,360,672,7630,2,4,1,8,1996
244.4,2403,7,1940,1032,349,24090,2,4,2,10,1950
173,1675,5,1959,1422,365,15263,2,3,2,8,1959
107.5,1224,5,1917,689,180,10632,1,3,0,6,1950
100,1392,5,1915,1212,0,9900,1,3,0,6,1950
95,919,6,1940,600,231,6001,1,3,0,5,1950
93.369,1884,4,1907,707,0,6449,1,4,0,7,1950
114.9,1680,5,1910,856,450,6048,2,2,1,7,1950
94,1020,5,1875,780,0,6342,1,2,0,6,1996
136,1832,4,1967,1832,0,10773,2,4,0,8,1967
136.5,1768,4,1968,1768,0,10778,2,4,0,8,1968
131.5,1039,5,1965,1039,504,11625,1,3,0,6,1965
121.5,1392,5,1957,1392,528,11341,1,3,1,5,1996
125,912,5,1967,912,336,8521,1,3,1,5,1967
154,1060,5,1968,1060,270,8246,1,3,1,6,2001
137.9,892,5,1966,864,416,7800,1,3,0,5,2008
158,1352,6,1969,663,299,9364,1,4,0,7,1969
137.25,864,5,1968,864,280,7832,1,2,0,4,1968
160.25,1373,5,1978,1319,591,7424,1,3,2,5,1978
163,1440,5,1968,720,480,11227,1,4,2,7,1968
158.9,1386,6,1978,672,440,11616,2,3,1,6,1978
328,2260,7,1996,1306,533,14000,2,3,0,7,1997
270,1483,7,1977,1420,690,20062,1,1,2,4,2001
85,756,4,1927,660,440,9259,1,2,0,4,1950
128,1067,4,1950,1067,436,9600,2,2,0,4,1995
260,1524,7,1979,1332,586,23595,0,0,1,4,1979
230,1981,6,1978,1117,522,17082,2,4,1,8,1992
124,1610,3,1938,972,480,18600,2,4,1,8,1990
83,835,5,1920,458,366,10625,1,2,0,5,1950
144.5,1074,6,1950,663,467,11479,1,3,1,6,1987
129,1144,5,1956,1144,596,9571,1,3,0,6,1956
127,1531,4,1947,756,209,9350,1,3,1,8,1979
128,1172,5,1954,1172,366,9525,1,3,0,5,1998
186,1212,6,2009,1212,460,10420,2,3,0,6,2009
308.03,1508,7,2009,1508,572,17485,1,1,2,5,2010
114,1298,5,1964,1250,504,11200,2,3,0,5,1964
84.9,930,4,1946,0,308,11100,1,2,0,6,2006
178,1732,6,1985,741,476,9206,2,3,1,7,1985
270,1433,7,1987,1433,528,11980,1,1,2,4,1987
218,1802,6,1993,946,1017,12361,2,3,1,8,1993
236,1949,7,1993,1050,574,9938,2,3,1,8,1994
147,996,6,1992,936,564,9069,1,2,0,5,1992
245.35,1694,8,2008,1694,776,10475,2,3,0,7,2008
206,1208,7,2006,1187,632,6762,2,2,0,6,2006
198.9,1226,7,2009,1226,740,10402,2,3,0,6,2009
187,1222,7,2010,1222,615,7360,2,2,0,6,2010
320,3222,7,1990,1673,594,12376,3,5,2,11,1990
138.5,1445,6,1900,676,484,14235,2,3,0,6,1993
155,1052,6,1971,1010,440,8816,1,3,0,6,1971
159,965,5,1996,870,580,11105,1,2,0,4,1996
191,1692,7,1997,878,513,9337,2,3,1,8,1998
200.5,1682,6,1998,804,523,8750,2,3,0,7,1998
150,1026,5,1977,1026,308,15240,1,3,0,5,2004
161.75,1392,6,1977,689,299,10900,1,3,0,6,1977
128.2,894,5,1976,894,308,10650,1,3,0,5,1976
127,876,5,1972,876,484,7480,1,3,0,5,1972
318,1978,8,2003,1978,850,10389,2,3,1,8,2003
272,1601,8,2001,1581,670,11423,2,3,1,6,2002
237,1829,7,2003,941,613,9548,2,3,1,7,2003
240,2098,7,1997,1040,621,9375,2,4,1,9,1997
224.9,1661,7,1998,1649,598,12137,2,3,0,6,1998
143.75,848,6,2003,848,420,4435,1,1,0,4,2003
143,848,6,2004,848,420,4426,1,1,0,3,2004
232,1668,8,2003,1657,502,10635,2,3,1,8,2003
213,1484,7,2004,1473,606,8400,2,3,0,7,2005
185.5,1414,7,2004,1414,494,8773,2,3,0,6,2004
84.9,640,3,1945,0,240,8777,1,2,0,5,2007
155.891,992,5,1954,381,319,8842,1,3,0,6,1954
100,1664,5,1965,0,0,9825,2,4,0,8,1965
144,1196,5,1968,1196,336,10044,1,3,0,6,1968
64,1120,4,1948,744,480,11792,1,2,0,5,1950
125.2,1096,6,1975,1008,352,6305,1,3,1,5,1975
107,1117,6,1976,1029,672,7819,1,3,1,6,1976
90,960,4,1958,960,0,6410,1,3,0,5,1958
140,1121,4,2003,1121,440,8546,2,2,0,5,2004
113,1487,6,1945,735,220,8741,1,3,1,7,1950
80,924,4,1941,672,280,12180,1,2,0,5,1950
144.5,1526,5,1957,1216,364,8562,1,4,1,7,2002
104,1296,5,1924,1107,260,4853,2,2,1,5,1999
128,1647,6,1915,806,216,6858,1,4,0,6,1950
58.5,864,3,1914,864,200,8212,1,2,0,5,1950
127,1691,5,1924,1026,308,5000,2,3,1,6,1950
126,856,6,1939,856,399,7890,1,2,1,4,1950
160,2650,4,1967,0,0,7200,3,6,0,10,1967
100,1666,5,1931,894,0,9839,1,3,1,7,1950
169,2447,6,1919,804,336,9638,2,4,1,10,1990
257.5,2133,7,1941,1528,312,10452,1,4,2,8,1985
215,2177,5,1950,1032,484,15600,2,5,0,11,1991
266.5,2340,7,1941,1152,252,9042,2,4,2,9,2006
335,1902,7,1959,1902,567,17500,2,3,2,7,2002
203.135,1652,7,1994,423,473,19645,2,3,0,6,2007
185,1034,8,1989,982,598,3907,1,1,1,4,1989
162.5,1191,8,1989,1191,531,3907,2,2,1,5,1989
289,1801,7,1959,1501,484,15602,2,1,2,6,1997
125.5,1154,4,1922,796,240,5436,1,3,0,7,2007
82,540,2,1941,480,200,8154,1,1,0,4,1950
110,1107,6,1921,629,625,9140,1,2,0,5,1975
68.4,1128,4,1920,698,528,7500,1,2,0,6,1950
102.776,1178,4,1900,859,384,8712,1,2,0,7,1950
55.993,1044,5,1952,540,504,8712,1,2,0,4,1952
50.138,952,4,1896,756,330,8712,1,3,0,5,1950
246,1646,8,2004,1594,525,3811,2,2,1,5,2005
254.9,1916,8,1998,1049,741,11050,2,3,1,8,1999
190,1285,6,1977,1243,473,9620,2,3,1,6,1977
201,1560,7,2003,1560,573,9196,2,3,0,7,2003
169.9,1034,6,1976,1012,888,12328,1,3,0,6,1976
170,2048,6,1976,1958,776,12760,3,5,0,9,1976
160,1687,5,1948,747,572,57200,1,3,2,7,1950
220,1346,7,2008,1336,660,11896,2,3,1,6,2008
179.781,1214,7,2009,1214,520,9803,2,2,0,6,2010
174,1444,5,2006,384,400,9802,2,3,0,7,2007
269.5,1968,8,2009,774,680,12003,2,4,1,8,2010
214.9,1894,7,2002,817,510,11316,2,4,1,8,2003
202.9,1908,8,2002,967,431,14191,2,4,0,9,2002
378.5,2018,9,2008,2002,746,13214,2,3,1,10,2009
169,1264,5,1965,1068,528,15300,1,2,1,7,1977
173.5,1430,5,2004,1430,624,10114,2,3,0,7,2005
139,1824,6,1971,912,0,9400,2,4,0,8,1971
166.5,1344,5,1999,1344,686,11875,2,3,1,7,1999
83.5,1092,4,1973,546,286,1974,1,3,0,6,1973
119.5,945,5,1973,945,253,2394,1,2,1,5,1973
85,1112,5,1976,536,336,2592,1,3,0,4,1976
76,1092,4,1970,546,0,1476,1,3,0,5,1970
75.5,630,4,1972,630,0,1491,1,1,0,3,1972
88.25,1092,4,1970,546,0,1900,1,3,0,5,1970
85.5,1092,4,1972,546,286,1890,1,3,0,5,1972
130,874,5,1971,864,352,6953,1,3,0,5,2004
157.9,1188,5,1962,1188,312,26142,1,3,0,6,1962
149.9,833,5,1984,833,495,12887,1,2,0,5,1984
159,2432,5,1985,1216,616,7700,4,4,0,10,1986
136,1274,5,1991,624,576,10475,1,3,0,6,1991
161,1479,5,1969,864,275,10544,2,5,0,8,1969
285,1803,8,1994,1679,482,9892,2,3,2,6,1995
231,1797,6,1993,1152,616,12961,2,3,1,7,1994
124.5,882,6,1956,882,502,13008,1,2,0,5,1956
157,1434,6,1974,1434,528,10200,2,4,1,7,1974
345,2704,8,1972,1952,538,13860,2,4,3,9,1995
189.5,1608,6,1997,945,470,10179,2,3,1,7,1997
270,2283,8,2003,1008,632,11792,2,4,1,9,2003
189,1628,7,1996,384,390,8400,2,3,1,7,1997
377.5,1746,9,2006,1746,758,14892,2,3,2,7,2007
168.5,1474,7,1995,384,400,8530,2,3,1,7,1996
375,2522,8,2004,2208,564,7296,2,1,1,8,2005
278,1659,8,2000,1501,499,5664,2,2,1,5,2000
240,1478,8,1998,1418,495,7380,2,2,0,5,1998
239.5,1734,8,1995,1587,528,8013,2,2,0,6,1996
177.5,1382,7,1998,384,396,8923,2,3,1,7,1998
185,1718,7,1998,832,427,10141,2,3,1,7,1998
191,1636,6,1998,952,440,7500,2,3,1,7,1999
178,1571,6,1993,799,380,7837,2,3,1,7,1994
185,1470,6,1993,680,420,9765,2,3,1,6,1993
181.316,1516,6,1994,707,409,8803,2,3,1,7,1995
166,1190,6,1993,1181,430,7250,2,3,1,6,1993
178,1593,6,1992,808,389,9636,2,3,1,7,1993
174,1481,6,1994,702,343,8125,2,3,1,6,1995
173,1167,6,1992,1158,400,9248,2,3,0,6,1992
225,1983,7,1999,978,490,10762,2,3,1,9,1999
180.5,1442,7,1990,1424,500,11851,2,3,0,5,1990
187.5,1360,8,1984,1220,565,5814,1,1,1,4,1984
501.837,2234,9,2008,2216,1166,17423,2,1,1,9,2009
372.5,2046,8,2008,2046,834,11844,2,3,1,7,2008
260,1530,7,2005,1530,430,16158,2,3,1,7,2005
185,1934,5,1977,1122,567,11900,2,3,1,6,1977
260,2353,7,1980,845,484,13005,2,4,1,10,1980
181,1586,6,1979,1362,435,17043,2,3,1,7,1998
82.5,1411,7,1977,1386,544,11900,2,3,1,6,1977
215,1602,6,1977,1602,529,16635,2,3,1,8,2000
154,2050,7,1978,832,529,13250,2,4,1,8,1978
200,1671,6,1978,1427,484,10928,2,3,1,7,1986
249,2673,7,1980,1043,441,12388,2,4,1,9,1991
187.5,1472,7,1980,1372,588,14115,2,3,2,6,1980
184,1707,6,1978,1140,479,11088,2,3,1,7,1998
278,2524,8,1981,2524,542,9600,2,4,1,9,1981
157,1601,7,1978,1271,478,11880,2,3,1,7,1978
152,1370,7,1976,1090,479,10400,2,3,1,6,1976
197.5,1868,5,1976,780,484,10304,2,4,1,9,1976
240.9,1884,7,2003,926,581,7000,2,3,1,7,2003
263.435,1935,8,2009,832,552,8004,2,3,0,8,2009
220,1874,8,2000,1058,588,7500,2,3,1,7,2001
235,1811,8,2002,972,565,8470,2,3,1,7,2002
213,1621,5,1975,1621,478,9373,2,3,2,7,1975
167.9,1116,6,1974,1116,528,10140,2,3,1,6,1974
158,1193,7,1975,1176,506,11050,2,3,1,5,1975
165,1350,6,1974,1064,478,10140,2,3,1,7,1974
158,2119,6,1972,689,583,10448,2,3,1,7,1972
136,1792,5,1974,896,0,9000,2,4,0,8,1974
148.5,1002,5,1970,1002,902,8750,1,3,0,5,1970
156,1026,6,1969,1026,440,7930,1,3,0,5,2005
128,1180,5,1970,1180,477,7830,1,2,0,6,1970
143,1050,5,1971,1043,336,8510,1,3,0,6,1971
76.5,864,4,1970,864,576,7038,1,3,0,5,1970
120.5,864,4,1970,864,660,6960,1,3,0,5,1970
124.5,864,4,1970,864,463,8120,1,3,0,5,1970
97,864,4,1971,864,576,10500,1,2,0,4,1971
130,864,4,1971,864,576,9000,1,3,0,5,2006
111,987,6,1973,483,264,1680,1,2,0,5,1973
125,1365,5,1970,765,440,2368,1,3,0,7,1970
112,1302,5,1971,630,280,1680,2,3,0,6,1971
97,987,6,1972,483,288,1680,1,2,0,5,1972
118,987,6,1972,483,264,1680,1,2,0,5,2007
119.5,1302,5,1972,630,264,1680,2,3,0,6,1972
143.75,958,6,1976,958,440,4928,2,2,0,5,1976
146,1548,6,1976,804,440,2308,2,3,1,7,1976
148.5,1456,6,1976,855,440,2280,2,3,1,7,1976
123,1055,7,1975,1057,440,2280,2,2,1,4,1975
147,1322,6,1974,855,440,2308,2,3,1,6,1974
137.9,1456,6,1977,855,440,2349,2,3,1,6,1977
147,1548,6,1978,804,440,2364,2,3,1,7,1978
148.5,1441,6,1978,855,440,2289,2,3,1,7,1978
138,1456,6,1978,855,440,2364,2,3,1,6,1978
128.5,836,7,1976,836,345,2104,1,2,0,5,1976
100,892,5,1967,892,288,7150,1,3,0,5,1967
148.8,1120,5,1966,864,656,10710,1,3,1,5,2004
337.5,1718,10,2006,1700,786,12456,2,3,1,7,2007
462,2772,9,2007,1776,754,14257,3,4,3,10,2007
485,3140,9,2008,1926,820,13518,3,4,2,11,2009
555,2402,10,2008,3094,672,15431,2,2,2,10,2008
325,1652,9,2006,1652,840,13173,2,2,2,6,2007
256.3,1600,8,2007,1566,890,14230,2,3,1,7,2007
253.293,2042,8,2008,2042,1390,12704,2,3,1,8,2009
398.8,2690,9,2009,1365,864,12350,2,3,1,8,2009
335,2184,9,2008,1104,836,11308,2,3,1,10,2008
404,2020,9,2008,2020,896,12350,2,3,1,7,2008
402.861,2020,10,2009,2006,900,12220,2,3,1,9,2009
451.95,2296,10,2008,1722,842,13478,2,3,1,10,2008
610,2674,10,2007,2630,762,13693,2,2,2,8,2007
582.933,2822,9,2008,1734,1020,13891,3,4,1,12,2009
360,1736,9,2008,1736,834,11578,2,3,1,7,2008
296,1782,8,2004,1782,932,16870,2,3,2,7,2005
409.9,2520,8,2007,1508,640,23303,2,5,1,10,2007
255.5,1717,8,2006,1709,908,11146,2,3,1,7,2006
335,1743,9,2008,1739,927,10367,2,3,1,8,2008
274.9,1713,8,2004,1713,856,9591,2,3,1,7,2005
300,1531,9,2006,1504,700,10872,2,2,1,6,2006
324,1808,9,2008,1774,850,13514,2,3,1,7,2008
350,2224,9,2004,1462,738,8834,2,4,1,10,2005
280,1836,8,2004,1836,862,11362,2,3,1,7,2005
284,1629,8,2003,3206,880,10655,2,3,1,7,2004
269.5,1760,7,2003,1760,583,12878,2,3,1,8,2004
233.17,1502,7,2009,1502,644,9541,2,3,0,7,2009
386.25,2392,10,2003,2392,968,13472,2,3,1,8,2003
445,2452,9,2003,2452,886,15274,2,3,1,10,2003
290,2400,8,2003,1082,730,13262,3,4,1,10,2004
255.9,1606,8,2006,1598,871,9658,2,3,1,6,2006
213,1358,6,2005,1358,484,6904,2,2,1,6,2005
196,1306,6,2005,1306,624,5381,2,1,1,5,2005
184.5,1306,6,2005,1306,624,5122,2,1,1,5,2005
212.5,1358,7,2007,1350,484,10307,2,2,1,6,2008
230,1314,7,2007,1314,626,5001,2,2,1,6,2008
552,2492,10,2004,2492,949,14836,2,2,1,8,2005
382.5,2200,8,2003,2200,685,15262,2,3,1,8,2004
320,1884,9,2008,1884,649,7390,2,2,1,6,2009
248.5,1456,9,2008,1451,539,6472,2,2,1,6,2008
286.5,1712,8,2002,1712,701,16770,2,3,1,8,2003
254,1324,8,2006,1324,550,6240,2,2,1,6,2006
173,1405,7,2003,1405,478,3480,2,2,1,6,2003
173,1626,7,2003,764,474,2268,2,2,0,6,2004
184,1456,7,2005,728,390,10928,2,3,1,8,2005
167.8,1490,6,2005,745,392,8918,2,3,1,7,2006
174,1484,6,2005,742,390,12589,2,3,1,8,2005
174,1560,6,2005,684,400,11911,2,3,1,6,2005
174,1555,7,2007,1373,660,3684,2,2,1,7,2007
175.9,1569,7,2007,1386,660,3635,2,1,1,7,2007
192.5,1555,7,2005,1373,430,3182,2,2,1,7,2006
181,1504,7,2005,1346,457,3182,2,1,1,7,2006
180,1220,7,2005,1220,397,3182,2,2,1,5,2006
160.2,1145,7,2005,1145,397,3182,2,2,1,5,2006
