record_id,sex,hindfoot_length,weight
29736,F,35,46
29737,F,35,41
29739,M,36,31
29741,F,34,44
29743,F,35,42
29751,F,36,39
29755,M,37,40
29756,M,35,37
29757,F,33,43
29758,M,37,46
29760,M,37,53
29776,F,35,43
29778,F,35,53
29780,M,36,49
29781,M,35,29
29785,F,34,45
29789,M,36,44
29792,F,37,46
29793,M,36,34
29795,M,37,43
29797,F,34,44
29798,M,36,48
29809,F,36,50
29813,M,37,58
29843,M,36,50
29849,M,37,54
29850,M,36,48
29866,M,36,41
29867,F,35,46
29868,M,36,41
29869,M,36,38
29870,F,36,42
29885,M,38,48
29889,M,36,48
29912,F,35,49
29914,M,33,57
29916,F,35,55
29917,F,34,41
29918,M,35,51
29919,M,36,51
29930,M,33,46
29931,M,37,53
29932,M,33,34
29971,M,35,31
29975,M,36,48
29976,M,38,49
30013,M,36,62
30014,M,37,55
30017,M,36,51
30018,M,36,55
30019,M,34,27
30020,F,34,61
30023,F,34,45
30024,F,34,40
30026,M,36,51
30027,M,31,19
30044,M,35,45
30045,M,36,53
30046,M,35,39
30047,M,36,49
30048,F,35,45
30088,M,35,41
30105,M,34,45
30126,M,34,24
30131,M,34,42
30132,M,35,34
30133,M,36,42
30135,M,35,50
30136,M,37,41
30137,M,35,49
30147,M,36,42
30149,M,34,27
