record_id,month,day,year,species_id,sex,hindfoot_length,weight
29304,3,14,1999,DM,F,35,43
29305,3,14,1999,DM,F,37,40
29308,3,14,1999,DM,M,36,51
29311,3,14,1999,DM,M,36,27
29315,3,14,1999,DM,F,36,45
29317,3,14,1999,DM,M,37,48
29318,3,14,1999,DM,M,37,41
29320,3,14,1999,DM,F,36,44
29323,3,14,1999,DM,M,36,46
29325,3,14,1999,DM,F,36,45
29326,3,14,1999,DM,M,35,49
29327,3,14,1999,DM,M,38,53
29329,3,14,1999,DM,M,36,47
29341,3,14,1999,DM,F,34,41
29342,3,14,1999,DM,M,37,48
29344,3,14,1999,DM,M,36,43
29345,3,14,1999,DM,F,35,46
29346,3,14,1999,DM,F,35,41
29351,3,14,1999,DM,M,36,51
29352,3,14,1999,DM,M,35,48
29356,3,14,1999,DM,M,37,48
29357,3,14,1999,DM,M,36,46
29359,3,14,1999,DM,F,36,47
29361,3,14,1999,DM,F,34,47
29363,3,14,1999,DM,M,37,50
29365,3,14,1999,DM,M,37,50
29366,3,14,1999,DM,M,35,38
29376,3,15,1999,DM,F,36,47
29377,3,15,1999,DM,M,37,48
29378,3,15,1999,DM,F,36,40
29379,3,15,1999,DM,M,34,50
29380,3,15,1999,DM,F,36,46
29381,3,15,1999,DM,M,35,45
29382,3,15,1999,DM,F,34,42
29384,3,15,1999,DM,M,38,51
29387,3,15,1999,DM,F,37,42
29389,3,15,1999,DM,M,36,45
29390,3,15,1999,DM,F,36,45
29391,3,15,1999,DM,M,37,46
29392,3,15,1999,DM,F,34,43
29399,3,15,1999,DM,F,37,46
29400,3,15,1999,DM,M,37,46
29401,3,15,1999,DM,F,36,45
29402,3,15,1999,DM,M,36,52
29403,3,15,1999,DM,M,37,52
29404,3,15,1999,DM,F,36,45
29408,3,15,1999,DM,M,36,52
29411,3,15,1999,DM,F,36,47
29412,3,15,1999,DM,F,34,42
29415,3,15,1999,DM,M,37,57
29417,3,15,1999,DM,M,34,47
29419,3,15,1999,DM,M,36,49
29421,3,15,1999,DM,M,34,45
29426,4,17,1999,DM,F,35,41
29427,4,17,1999,DM,F,37,41
29431,4,17,1999,DM,M,37,48
29434,4,17,1999,DM,F,36,31
29440,4,17,1999,DM,M,37,44
29441,4,17,1999,DM,M,37,47
29442,4,17,1999,DM,M,37,46
29443,4,17,1999,DM,F,37,41
29445,4,17,1999,DM,M,37,43
29450,4,17,1999,DM,M,38,43
29451,4,17,1999,DM,F,32,44
29463,4,17,1999,DM,F,34,40
29464,4,17,1999,DM,M,34,19
29465,4,17,1999,DM,F,NA,40
29466,4,17,1999,DM,F,36,46
29468,4,17,1999,DM,M,36,42
29469,4,17,1999,DM,M,37,47
29470,4,17,1999,DM,F,34,39
29471,4,17,1999,DM,M,37,43
29473,4,17,1999,DM,M,36,44
29478,4,17,1999,DM,F,34,29
29481,4,17,1999,DM,M,37,33
29484,4,17,1999,DM,F,33,34
29485,4,17,1999,DM,M,34,45
29486,4,17,1999,DM,M,37,47
29487,4,17,1999,DM,F,37,44
29504,4,18,1999,DM,M,37,47
29505,4,18,1999,DM,F,37,43
29506,4,18,1999,DM,M,38,47
29507,4,18,1999,DM,M,36,48
29508,4,18,1999,DM,M,36,45
29509,4,18,1999,DM,F,35,46
29510,4,18,1999,DM,M,35,30
29511,4,18,1999,DM,F,35,43
29512,4,18,1999,DM,F,36,45
29513,4,18,1999,DM,M,35,45
29523,4,18,1999,DM,F,36,40
29524,4,18,1999,DM,M,36,40
29528,4,18,1999,DM,F,35,44
29530,4,18,1999,DM,M,35,42
29531,4,18,1999,DM,M,39,45
29532,4,18,1999,DM,M,37,41
29535,4,18,1999,DM,F,37,45
29536,4,18,1999,DM,M,38,49
29537,4,18,1999,DM,F,36,42
29545,4,18,1999,DM,F,36,39
29550,4,18,1999,DM,F,37,45
29551,4,18,1999,DM,M,38,49
29552,4,18,1999,DM,F,37,46
29553,4,18,1999,DM,M,36,22
29554,4,18,1999,DM,F,35,41
29558,4,18,1999,DM,F,34,47
29559,4,18,1999,DM,M,37,55
29561,4,18,1999,DM,M,38,45
29566,5,15,1999,DM,F,35,41
29567,5,15,1999,DM,F,36,47
29568,5,15,1999,DM,F,35,41
29577,5,15,1999,DM,M,37,46
29578,5,15,1999,DM,F,35,38
29580,5,15,1999,DM,M,36,44
29582,5,15,1999,DM,F,36,47
29584,5,15,1999,DM,F,37,35
29596,5,15,1999,DM,F,37,45
29597,5,15,1999,DM,M,36,26
29601,5,15,1999,DM,F,36,43
29602,5,15,1999,DM,F,35,41
29603,5,15,1999,DM,F,34,44
29613,5,15,1999,DM,F,35,37
29614,5,15,1999,DM,M,35,37
29615,5,15,1999,DM,F,38,46
29616,5,15,1999,DM,F,35,48
29617,5,15,1999,DM,M,37,51
29622,5,15,1999,DM,M,37,47
29638,5,16,1999,DM,M,37,39
29639,5,16,1999,DM,M,34,39
29640,5,16,1999,DM,F,36,46
29642,5,16,1999,DM,M,37,43
29650,5,16,1999,DM,M,36,42
29651,5,16,1999,DM,F,34,43
29653,5,16,1999,DM,M,37,42
29654,5,16,1999,DM,M,35,26
29656,5,16,1999,DM,F,37,43
29657,5,16,1999,DM,M,37,47
29658,5,16,1999,DM,M,36,27
29659,5,16,1999,DM,M,36,37
29661,5,16,1999,DM,M,37,53
29666,5,16,1999,DM,M,39,47
29670,5,16,1999,DM,M,35,25
29678,5,16,1999,DM,M,34,21
29679,5,16,1999,DM,F,35,44
29680,5,16,1999,DM,F,37,49
29692,5,16,1999,DM,M,36,44
29693,5,16,1999,DM,F,36,45
29694,5,16,1999,DM,M,33,29
29695,5,16,1999,DM,M,38,57
29697,6,12,1999,DM,F,37,44
29700,6,12,1999,DM,M,37,49
29704,6,12,1999,DM,F,34,42
29708,6,12,1999,DM,F,36,44
29709,6,12,1999,DM,F,37,36
29710,6,12,1999,DM,F,36,45
29712,6,12,1999,DM,M,37,47
29714,6,12,1999,DM,M,21,22
29736,6,12,1999,DM,F,35,46
29737,6,12,1999,DM,F,35,41
29739,6,12,1999,DM,M,36,31
29741,6,12,1999,DM,F,34,44
29743,6,12,1999,DM,F,35,42
29751,6,12,1999,DM,F,36,39
29755,6,12,1999,DM,M,37,40
29756,6,12,1999,DM,M,35,37
29757,6,12,1999,DM,F,33,43
29758,6,12,1999,DM,M,37,46
29760,6,12,1999,DM,M,37,53
29776,6,13,1999,DM,F,35,43
29778,6,13,1999,DM,F,35,53
29780,6,13,1999,DM,M,36,49
29781,6,13,1999,DM,M,35,29
29785,6,13,1999,DM,F,34,45
29789,6,13,1999,DM,M,36,44
29792,6,13,1999,DM,F,37,46
29793,6,13,1999,DM,M,36,34
29795,6,13,1999,DM,M,37,43
29797,6,13,1999,DM,F,34,44
29798,6,13,1999,DM,M,36,48
29809,6,13,1999,DM,F,36,50
29813,6,13,1999,DM,M,37,58
29843,9,12,1999,DM,M,36,50
29849,9,12,1999,DM,M,37,54
29850,9,12,1999,DM,M,36,48
29866,10,9,1999,DM,M,36,41
29867,10,9,1999,DM,F,35,46
29868,10,9,1999,DM,M,36,41
29869,10,9,1999,DM,M,36,38
29870,10,9,1999,DM,F,36,42
29885,10,9,1999,DM,M,38,48
29889,10,9,1999,DM,M,36,48
29912,10,10,1999,DM,F,35,49
29914,10,10,1999,DM,M,33,57
29916,10,10,1999,DM,F,35,55
29917,10,10,1999,DM,F,34,41
29918,10,10,1999,DM,M,35,51
29919,10,10,1999,DM,M,36,51
29930,10,10,1999,DM,M,33,46
29931,10,10,1999,DM,M,37,53
29932,10,10,1999,DM,M,33,34
29971,11,6,1999,DM,M,35,31
29975,11,6,1999,DM,M,36,48
29976,11,6,1999,DM,M,38,49
30013,11,7,1999,DM,M,36,62
30014,11,7,1999,DM,M,37,55
30017,11,7,1999,DM,M,36,51
30018,11,7,1999,DM,M,36,55
30019,11,7,1999,DM,M,34,27
30020,11,7,1999,DM,F,34,61
30023,11,7,1999,DM,F,34,45
30024,11,7,1999,DM,F,34,40
30026,11,7,1999,DM,M,36,51
30027,11,7,1999,DM,M,31,19
30044,11,7,1999,DM,M,35,45
30045,11,7,1999,DM,M,36,53
30046,11,7,1999,DM,M,35,39
30047,11,7,1999,DM,M,36,49
30048,11,7,1999,DM,F,35,45
30088,12,5,1999,DM,M,35,41
30105,12,5,1999,DM,M,34,45
30126,12,6,1999,DM,M,34,24
30131,12,6,1999,DM,M,34,42
30132,12,6,1999,DM,M,35,34
30133,12,6,1999,DM,M,36,42
30135,12,6,1999,DM,M,35,50
30136,12,6,1999,DM,M,37,41
30137,12,6,1999,DM,M,35,49
30147,12,6,1999,DM,M,36,42
30149,12,6,1999,DM,M,34,27
